typeID
602
11198
11198
17703
601
602
594
605
583
29340
11379
17718
622
622
594
11379
35683
582
17703
583
17812
17619
602
593
601
32876
17812
591
17703
17841
37454
11196
17841
35683
17841
11198
17703
17841
593
17703
32874
17703
603
597
17841
629
622
608
608
634
608
603
597
605
608
601
597
33157
589
32876
583
29986
32880
17703
12044
648
16240
597
17932
11174
603
29248
17703
42244
590
622
11174
34828
47270
622
603
11371
597
32876
621
587
12044
603
603
3756
597
603
35683
622
47270
593
603
597
11371
598
593
49710
11371
598
587
11371
622
622
32880
608
598
608
608
17703
32876
16236
17703
597
32876
603
32876
603
11172
32876
582
32878
16238
585
16238
16238
16238
16238
32878
16238
16238
16238
49710
32874
34317
603
585
12044
17841
582
594
16238
16238
16238
594
16238
32876
16238
594
3766
32876
583
16242
11184
605
17703
32878
603
593
16240
594
594
32876
622
32876
32876
32878
594
622
585
11198
622
32878
11999
32878
594
32878
622
32876
32878
